spread_line,result,normalized_modeled_prob
-16,23,0.18%
-16,24,0.40%
-16,25,0.17%
-16,26,0.03%
-16,27,0.14%
-16,28,0.33%
-16,29,0.14%
-16,30,0.13%
-16,31,0.28%
-16,32,0.12%
-16,33,0.01%
-16,34,0.00%
-16,35,0.00%
-16,36,0.00%
-16,37,0.00%
-16,38,0.00%
-16,39,0.00%
-16,40,0.00%
-16,41,0.00%
-16,42,0.00%
-16,43,0.00%
-16,44,0.00%
-16,45,0.00%
-16,46,0.00%
-16,47,0.00%
-16,48,0.00%
-16,49,0.00%
-16,50,0.00%
-16,51,0.00%
-16,52,0.00%
-16,53,0.00%
-16,54,0.00%
-16,55,0.00%
-16,56,0.00%
-16,57,0.00%
-16,58,0.00%
-16,59,0.00%
-16,60,0.00%
-16,61,0.00%
-16,62,0.00%
-16,63,0.00%
-16,64,0.00%
-16,65,0.00%
-16,66,0.00%
-16,67,0.00%
-16,68,0.00%
-16,69,0.00%
-16,70,0.00%
-16,71,0.00%
-16,72,0.00%
-16,73,0.00%
-16,74,0.00%
-15.5,-75,0.00%
-15.5,-74,0.00%
-15.5,-73,0.00%
-15.5,-72,0.00%
-15.5,-71,0.00%
-15.5,-70,0.00%
-15.5,-69,0.00%
-15.5,-68,0.00%
-15.5,-67,0.00%
-15.5,-66,0.00%
-15.5,-65,0.00%
-15.5,-64,0.00%
-15.5,-63,0.00%
-15.5,-62,0.00%
-15.5,-61,0.00%
-15.5,-60,0.00%
-15.5,-59,0.00%
-15.5,-58,0.00%
-15.5,-57,0.01%
-15.5,-56,0.01%
-15.5,-55,0.01%
-15.5,-54,0.01%
-15.5,-53,0.01%
-15.5,-52,0.02%
-15.5,-51,0.02%
-15.5,-50,0.03%
-15.5,-49,0.03%
-15.5,-48,0.04%
-15.5,-47,0.04%
-15.5,-46,0.05%
-15.5,-45,0.08%
-15.5,-44,0.38%
-15.5,-43,0.87%
-15.5,-42,0.76%
-15.5,-41,0.99%
-15.5,-40,0.50%
-15.5,-39,0.58%
